"13/03/2025"
""
""
""
"Struttura (codici e titoli) della classificazione delle attività economiche"
"ATECO 2025"
""
"A          AGRICOLTURA, SILVICOLTURA E PESCA"
""
"01         Produzioni vegetali e animali, caccia e servizi connessi"
""
"01.1       Coltivazione di colture agricole non permanenti"
""
"01.11      Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso"
""
"01.11.0    Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso"
""
"01.11.00   Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso"
""
"01.12      Coltivazione di riso"
""
"01.12.0    Coltivazione di riso"
""
"01.12.00   Coltivazione di riso"
""
"01.13      Coltivazione di ortaggi e meloni, radici e tuberi"
""
"01.13.1    Coltivazione di ortaggi e meloni"
""
"01.13.11   Coltivazione di ortaggi e meloni in piena aria"
""
"01.13.12   Coltivazione di ortaggi e meloni in colture protette fuori suolo"
""
"01.13.13   Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo"
""
"01.13.2    Coltivazione di radici, incluse barbabietole da zucchero"
""
"01.13.20   Coltivazione di radici, incluse barbabietole da zucchero"
""
"01.13.3    Coltivazione di tuberi, incluse patate"
""
"01.13.30   Coltivazione di tuberi, incluse patate"
""
"01.14      Coltivazione di canna da zucchero"
""
"01.14.0    Coltivazione di canna da zucchero"
""
"01.14.00   Coltivazione di canna da zucchero"
""
""
"1"
"01.15      Coltivazione di tabacco"
""
"01.15.0    Coltivazione di tabacco"
""
"01.15.00   Coltivazione di tabacco"
""
"01.16      Coltivazione di piante tessili"
""
"01.16.0    Coltivazione di piante tessili"
""
"01.16.00   Coltivazione di piante tessili"
""
"01.19      Coltivazione di altre colture agricole non permanenti"
""
"01.19.1    Coltivazione di fiori"
""
"01.19.11   Coltivazione di fiori in piena aria"
""
"01.19.12   Coltivazione di fiori in colture protette fuori suolo"
""
"01.19.13   Coltivazione di fiori in altre colture protette, escluse colture fuori suolo"
""
"01.19.9    Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a."
""
"01.19.90   Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a."
""
"01.2       Coltivazione di colture agricole permanenti"
""
"01.21      Coltivazione di uva"
""
"01.21.0    Coltivazione di uva"
""
"01.21.00   Coltivazione di uva"
""
"01.22      Coltivazione di frutta di origine tropicale e subtropicale"
""
"01.22.0    Coltivazione di frutta di origine tropicale e subtropicale"
""
"01.22.00   Coltivazione di frutta di origine tropicale e subtropicale"
""
"01.23      Coltivazione di agrumi"
""
"01.23.0    Coltivazione di agrumi"
""
"01.23.00   Coltivazione di agrumi"
""
"01.24      Coltivazione di pomacee e frutta a nocciolo"
""
"01.24.0    Coltivazione di pomacee e frutta a nocciolo"
""
"01.24.00   Coltivazione di pomacee e frutta a nocciolo"
""
"01.25      Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio"
""
"01.25.0    Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio"
""
""
"2"
"01.25.00   Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio"
""
"01.26      Coltivazione di frutti oleosi"
""
"01.26.0    Coltivazione di frutti oleosi"
""
