Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"CCNL INTERSETTORIALE: Servizi alle imprese, Terziario, Commercio e Distribuzione, Pubblici Esercizi e Turismo";"Testo definitivo";"Commercio";"UAI; UNAPRI; ASSIDAL; ANIF; CONFSAL FASPI; FEDARMEC; CONFSAAP; SIAT; FIRAS SPP; UIPS; ALPPI; IMMEXA";"27/07/2016";"27/07/2016";"";"26/07/2019";"INTERSETTORIALE: Servizi alle imprese, Terziario, Commercio e Distribuzione, Pubblici Esercizi e Turismo"
"Verbale di accordo relativo alla procedura in caso di successione di imprese nel contratto di appalto con il medesimo committente e per la medesima attività di call center";"Verbale Integrativo";"Aziende di Servizi";"ASSOTELECOMUNICAZIONI ASSTEL;SLC CGIL;FISTEL CISL;UILCOM UIL";"30/05/2016";"";"";"";"TELECOMUNICAZIONI"
"Ipotesi di accordo per il rinnovo del CCNL Unionchimica Confapi per i lavoratori della piccola e media industria dei settori: chimica, concia e settori accorpati, plastica e gomma, abrasivi, ceramica e vetro";"Accordo di rinnovo";"Chimici";"UNIONCHIMICA CONFAPI;FILCTEM CGIL;FEMCA CISL;UILTEC UIL";"26/07/2016";"01/01/2016";"";"31/12/2018";"CHIMICA E AFFINI (Piccola e Media Impresa)"
"CCNL del settore Studi Professionali";"Testo definitivo";"Commercio";"FEDERIMPRESEITALIA;ALPAI;SALPS";"30/09/2016";"01/10/2016";"";"30/09/2019";"Studi Professionali (FEDERIMPRESEITALIA-ALPAI-SALPS)"
"CCNL dell'Agricoltura (Operai e Florovivaisti)";"Testo definitivo";"Agricoltura";"FEDERIMPRESEITALIA;ALPAI;SALPS";"30/09/2016";"01/01/2017";"";"31/12/2021";"AGRICOLTURA: Operai e Florovivaisti (FEDERIMPRESEITALIA)"
"CCNL del settore TURISTICO e ALBERGHIERO";"Testo definitivo";"Commercio";"FEDERIMPRESEITALIA;ALPAI;SALPS";"30/09/2016";"01/10/2016";"";"31/12/2019";"TURISTICO E ALBERGHIERO (FEDERIMPRESEITALIA-ALPAI-SALPS)"
"Verbale di Accordo modificativo del CCNL PER I DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI siglato in data 1 luglio 2013";"Accordo economico";"Commercio";"SISTEMA IMPRESA;FESICA CONFSAL;CONFSAL FISALS;CONFSAL";"12/10/2016";"";"";"";"DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI (SCI-CONFSAL)"
"CCNL per i dipendenti delle PMI, del settore edile e affini";"Testo definitivo";"Edilizia";"CONFSAAP;UPLA;FENAPI;FASPI;UAI;ALPPI;FENALPI;FIRAS SPP;FIRAS Edilizia;IMMEXA;CONFELP;ALI CONFSAL";"13/10/2016";"17/10/2016";"";"17/10/2019";"EDILI: Dipendenti delle PMI del settore Edile e affini"
"CCNL per i dipendenti e per i soci lavoratori delle imprese esercenti Servizi al Marketing Operativo e delle attività ad esso collaterali";"Testo definitivo";"Commercio";"CONFIMPRENDITORI;CIU";"11/10/2016";"12/10/2016";"";"11/10/2019";"SERVIZI AL MARKETING OPERATIVO (CONFIMPRENDITORI-CIU)"
"Ipotesi di accordo per il rinnovo del CCNL per i dipendenti della piccola e media industria dei settori tessile, abbigliamento, moda, calzature, pelli e cuoio, penne, spazzole e pennelli, occhiali, giocattoli";"Accordo di rinnovo";"Tessili";"UNIONTESSILE CONFAPI;FILCTEM CGIL;FEMCA CISL;UILTEC UIL";"12/10/2016";"01/04/2016";"";"31/03/2019";"TESSILI ABBIGLIAMENTO: P.M.I."
"CCNL 22 settembre 2004 settore piccola e media industria Legno – Mobili – Arredamento – Sughero – Forestale";"Testo definitivo";"Edilizia";"UNITAL;CONFAPI;FILLEA CGIL;FILCA CISL;FENEAL UIL";"22/09/2004";"01/09/2004";"31/12/2005";"31/12/2007";"LEGNO, ARREDAMENTO: P.M.I."
"Ipotesi di Accordo di rinnovo del CCNL per la piccola e media industria manifatturiera metalmeccanica e della installazione di impianti";"Accordo di rinnovo";"Meccanici";"CONFIMI IMPRESA MECCANICA;FIM CISL;UILM UIL";"22/07/2016";"01/06/2016";"";"31/05/2019";"METALMECCANICA: P.M.I. - CONFIMI"
"CCNL per i dipendenti delle imprese adili artigiane e delle piccole e medie imprese industriali edili e affini";"Testo definitivo";"Edilizia";"CONFINNOVA;FEDERSICUREZZA ITALIA;SINAST;FIADEL CISAL";"02/12/2016";"01/12/2016";"";"30/11/2019";"EDILI: Dipendenti imprese artigiane e PMI industriali e affini"
"CCNL per i dipendenti del terziario, commercio, distribuzione e servizi";"Testo definitivo";"Commercio";"CONFINNOVA;FEDERSICUREZZA ITALIA;SINAST";"13/12/2016";"01/01/2017";"";"31/12/2019";"TERZIARIO, COMMERCIO, DISTRIBUZIONE E SERVIZI (CONFINNOVA-FEDERSICUREZZA ITALIA-SINAST)"
"CCNL Commercio e Terziario";"Testo definitivo";"Commercio";"ASSPIM;SIDA;Sindacato SLI";"29/11/2016";"01/12/2016";"";"31/12/2020";"COMMERCIO E TERZIARIO (aziende con massimo 30 dipendenti)"
"CCNL unico Commercio e Terziario";"Testo definitivo";"Commercio";"UAI;CONFAE;CONFENAL;CONFENAL FEDITES;FSE COBAS";"22/12/2016";"22/12/2016";"";"31/12/2019";"COMMERCIO E TERZIARIO (UAI-CONFAE-CONFENAL FEDITES-FSE COBAS)"
"CCNL Agricoltura e Florovivaismo per impiegati, operai agricoli e florovivaisti";"Testo definitivo";"Agricoltura";"UAI;CONFAE;CONFENAL;CONFENAL FEDAGRI;FSE COBAS";"22/12/2016";"22/12/2016";"";"31/12/2019";"AGRICOLTURA E FLOROVIVAISMO"
"Accordo sul riconoscimento dell'adeguamento IPCA - CCNL per i dipendenti degli Istituti e Aziende di Vigilanza Privata, Investigazioni e Servizi Fiduciari del 15 ottobre 2015";"Verbale Integrativo";"Commercio";"ANPIT;CIDEC;UNICA;UNIQUALITY;CISAL SINALV;CISAL TERZIARIO;CISAL";"13/12/2016";"01/11/2016";"";"";"VIGILANZA PRIVATA, INVESTIGAZIONI E SERVIZI FIDUCIARI"
"CCNL per le lavoratrici e i lavoratori delle cooperative del settore socio-sanitario, umanitario, assistenziale-educativo e di inserimento lavorativo";"Testo definitivo";"Enti e Istituzioni Private";"UNICOOP;UGL Sanità Nazionale;UGL";"22/12/2016";"01/01/2017";"";"31/12/2019";"COOPERATIVE SETTORE SOCIO-SANITARIO, UMANITARIO, ASSISTENZIALE-EDUCATIVO E DI INSERIMENTO LAVORATIVO (UNICOOP-UGL)"
"CCNL per i dipendenti di istituti e imprese di vigilanza privata e servizi di portierato";"Testo definitivo";"Commercio";"ANSL;SINAL;CIDAT";"19/12/2016";"01/01/2017";"";"31/12/2019";"VIGILANZA PRIVATA E SERVIZI DI PORTIERATO"
"Verbale di accordo di modifica del contenuto dell'accordo per il rinnovo del CCNL Turismo del 18 gennaio 2014";"Verbale Integrativo";"Commercio";"FEDERALBERGHI;FAITA;CONFCOMMERCIO;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL";"30/11/2016";"";"";"";"TURISMO (AZIENDE CONFCOMMERCIO)"
"CCNL per gli addetti delle imprese del settore Trasporto, Spedizioni, Logistica e attività affini";"Testo definitivo";"Trasporti";"FOR ITALY;FAMAR;CONFAMAR";"30/12/2016";"30/12/2016";"";"31/12/2019";"TRASPORTO, SPEDIZIONI, LOGISTICA E ATTIVITA' AFFINI (FOR ITALY - FAMAR)"
"Proroga del CCNL del 16/2/2013 Domestici - Colf e badanti - conviventi e non conviventi";"Accordo di rinnovo";"Commercio";"Sindacato SLI;SIDA";"01/02/2017";"01/03/2016";"";"28/02/2020";"Domestici - Colf e Badanti - conviventi e non conviventi"
"CCNL per gli addetti delle imprese operanti nel settore Manifatturiero, produzione e fabbricazione di beni";"Testo definitivo";"Altri Vari";"FOR ITALY;FAMAR;CONFAMAR";"09/02/2017";"09/02/2017";"";"31/12/2019";"IMPRESE OPERANTI NEL SETTORE MANIFATTURIERO, PRODUZIONE E FABBRICAZIONE DI BENI (FOR.ITALY-FAMAR)"
"CCNL per gli addetti delle imprese del settore AGRICOLTURA delle Piccole e Medie Imprese";"Testo definitivo";"Agricoltura";"ADLI; ASSIDAL; FAMAR; FIRAS SPP CIU; FLS CONFAMAR";"01/03/2017";"01/03/2017";"";"28/02/2020";"AGRICOLTURA: PMI e Cooperative (ADLI-ASSIDAL-FAMAR-FIRAS SPP CIU-FLS CONFAMAR)"
"Verbale di integrazione dell'accordo di data 16 settembre 2016 per il rinnovo del CCNL per i lavoratori dipendenti della piccola e media industria alimentare";"Verbale Integrativo";"Alimentaristi - Agroindustriale";"UNIONALIMENTARI CONFAPI;FAI CISL;FLAI CGIL;UILA UIL";"06/03/2017";"";"";"";"ALIMENTARISTI: P.M.I."
"ESAARCO CCNL per i dipendenti da Enti, Aziende e Associazioni del settore Olistico";"Testo definitivo";"Altri Vari";"ESAARCO;ESAARCO Olistici;CONFAB;FENALS;ONAPS CIU;SIDOS";"01/03/2017";"01/03/2017";"";"28/02/2020";"SETTORE OLISTICO (ESAARCO)"
"Ipotesi di Accordo nazionale 28 novembre 2015 di rinnovo del CCNL Autoferrotranvieri-Internavigatori (Mobilità - TPL)";"Accordo di rinnovo";"Trasporti";"ASSTRA; ANAV; FILT CGIL; FIT CISL; UILTRASPORTI UIL; FAISA CISAL; UGL FNA; (sottoscritto da AGENS il 24/1/2018)";"28/11/2015";"01/01/2015";"";"31/12/2017";"AUTOFERROTRANVIERI"
"CCNL del personale dirigente medico dipendente degli Ospedali Classificati ancorché riconosciuti IRCCS";"Testo definitivo";"Enti e Istituzioni Private";"ARIS;ANMIRS";"05/02/2001";"01/01/1998";"";"31/12/2001";"Dirigenti Medici di Ospedali Classificati e IRCCS (ARIS)"
"Accordo Ponte per i dirigenti medici dipendenti degli Ospedali Classificati ed IRCCS";"Accordo di rinnovo";"Enti e Istituzioni Private";"ARIS;ANMIRS";"28/12/2006";"01/01/2002";"";"31/12/2005";"Dirigenti Medici di Ospedali Classificati e IRCCS (ARIS)"
"CCNL ARIS ANMIRS Biennio economico 2006-2007";"Accordo economico";"Enti e Istituzioni Private";"ARIS;ANMIRS";"29/12/2008";"01/01/2006";"";"31/12/2007";"Dirigenti Medici di Ospedali Classificati e IRCCS (ARIS)"
"CCNL per i dipendenti degli Studi Odontoiatrici e Medico Dentistici";"Testo definitivo";"Commercio";"CIFA;AIO;FIALS CONFSAL;CONFSAL";"30/03/2017";"01/03/2017";"";"29/02/2020";"Studi Odontoiatrici e Medico Dentistici"
"Accordo integrativo in materia retributiva del CCNL PER I DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI del 1° luglio 2013";"Accordo economico";"Commercio";"SISTEMA IMPRESA;FESICA CONFSAL;CONFSAL FISALS;CONFSAL";"04/04/2017";"";"";"";"DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI (SCI-CONFSAL)"
"Accordo di rinnovo del CCNL PER I DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI del 1° luglio 2013";"Accordo di rinnovo";"Commercio";"SISTEMA IMPRESA;FESICA CONFSAL;CONFSAL FISALS;CONFSAL";"20/04/2017";"01/05/2017";"";"30/04/2020";"DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI (SCI-CONFSAL)"
"Accordo Economico Collettivo buone prassi per la regolamentazione del lavoro autonomo";"Testo definitivo";"Altri Vari";"FOR ITALY;FAMAR;CONFAMAR";"20/04/2017";"20/04/2017";"";"31/12/2019";"Lavoro Autonomo (FOR.ITALY-FAMAR)"
"CCNL per gli addetti delle imprese del settore TERZIARIO";"Testo definitivo";"Commercio";"FOR ITALY;FAMAR;CONFAMAR";"20/04/2017";"20/04/2017";"";"30/06/2020";"TERZIARIO (FOR.ITALY-FAMAR)"
"CCNL per i lavoratori dipendenti delle imprese, anche cooperative, esercenti attività di trasformazione e posa di prodotti in vetro, legno, ceramica, gomma, ferro, plastica, cristallo, carta, tessuto, anche conto terzi e in somministrazione, nel settore dell'Industria "della Grande Carpenteria, Saldatura e Molatura"";"Testo definitivo";"Altri Vari";"UNSIC;UNSICOOP;CONFIAL";"04/04/2017";"01/04/2017";"";"31/03/2020";"GRANDE CARPENTERIA, SALDATURA E MOLATURA"
"Contratto nazionale di lavoro giornalistico";"Testo definitivo";"Poligrafici e Spettacolo";"FIEG;FNSI";"24/06/2014";"01/04/2013";"";"31/03/2016";"GIORNALISTI"
"Verbale di Accordo per la proroga della validità del Contratto nazionale di lavoro giornalistico fino al prossimo rinnovo";"Verbale Integrativo";"Poligrafici e Spettacolo";"FIEG;FNSI";"28/09/2016";"";"";"";"GIORNALISTI"
"CCNL per i lavoratori dipendenti delle imprese esercenti attività nel settore dei servizi";"Testo definitivo";"Altri Vari";"FAPI;CESAC;FILDI CIU";"05/04/2017";"05/04/2017";"";"30/03/2020";"SERVIZI (FAPI-CESAC-FILDI CIU)"
"CCNL per i lavoratori dipendenti delle imprese esercenti attività nel settore del Commercio";"Testo definitivo";"Commercio";"FAPI;CESAC;FILDI CIU";"05/04/2017";"05/04/2017";"";"30/03/2020";"COMMERCIO (FAPI-CESAC-FILDI CIU)"
"CCNL per i dipendenti delle Aziende Agricole, Agrituristiche e florovivaiste costituite anche in forma cooperativa";"Testo definitivo";"Agricoltura";"ESAARCO;CEPA;CEPA Agricoltura;UIPA;CLI;FLAAF;CIU";"31/05/2017";"31/05/2017";"";"30/05/2019";"AZIENDE AGRICOLE, AGRITURISTICHE E FLOROVIVAISTE (ESAARCO)"
"CCNL per i lavoratori dipendenti delle imprese esercenti attività nei settori agricoltura e florovivaismo, fioricoltura, forestale e manutenzione giardini";"Testo definitivo";"Agricoltura";"CONFINNOVA;FEDERSICUREZZA ITALIA;FIADEL SP CISAL";"01/04/2017";"01/04/2017";"";"31/03/2020";"AGRICOLTURA, FLOROVIVAISMO, FIORICOLTURA, FORESTALE E MANUTENZIONE GIARDINI"
"CCNL per i lavoratori dipendenti e soci lavoratori delle Associazioni";"Testo definitivo";"Altri Vari";"FAPI;CESAC;FILDI CIU";"05/04/2017";"05/04/2017";"";"30/03/2020";"LAVORATORI DELLE ASSOCIAZIONI (FAPI-CESAC-FILDI CIU)"
"CCNL per i quadri direttivi e per il personale delle aree professionali dipendenti dalle imprese creditizie, bancarie, finanziarie e strumentali";"Testo definitivo";"Credito Assicurazioni";"FENAFI;ASSIMEC;FEDERPROMM UILTUCS;UILTUCS UIL;FIDICC SINADI";"10/04/2017";"10/04/2017";"";"28/06/2019";"SOCIETA' FINANZIARIE E SERVIZI: Dipendenti"
"CCNL per i lavoratori dipendenti del settore PULIZIE";"Testo definitivo";"Aziende di Servizi";"FEDERSICUREZZA ITALIA;CONFINNOVA;FIADEL SP";"30/05/2017";"01/05/2017";"";"30/04/2021";"PULIZIE (FEDERSICUREZZA ITALIA - CONFINNOVA - FIADEL SP)"
"Ipotesi di accordo sindacale per il rinnovo del CCNL per il personale dipendente da imprese esercenti l'attività funebre";"Accordo di rinnovo";"Trasporti";"FENIOF;CONFCOMMERCIO;FILT CGIL;FIT CISL;UILTRASPORTI";"05/05/2017";"01/01/2017";"";"31/12/2020";"POMPE FUNEBRI: Agenzie Private"
"CCNL per il personale dipendente non medico da strutture sanitarie, socio-sanitarie, e cooperative socio sanitarie ed assistenziali private";"Testo definitivo";"Enti e Istituzioni Private";"FMPI CONAPI;CONAPI;CNAL";"15/05/2017";"15/05/2017";"";"14/05/2020";"STRUTTURE SANITARIE, SOCIO-SANITARIE E COOPERATIVE SOCIO SANITARIE ED ASSISTENZIALI PRIVATE: personale non medico (CONAPI-CNAL)"
"Accordo Economico Collettivo buone prassi per la regolamentazione del lavoro autonomo - Integrazione all'Accordo del 20 aprile 2017";"Verbale Integrativo";"Altri Vari";"FOR ITALY;FAMAR;CONFAMAR";"08/06/2017";"";"";"";"Lavoro Autonomo (FOR.ITALY-FAMAR)"
"CCNL per i dipendenti delle Aziende del settore Commercio";"Testo definitivo";"Commercio";"CNAI;UCICT;FISMIC CONFSAL;FILCOM FISMIC";"04/03/2014";"01/03/2014";"";"28/02/2017";"COMMERCIO (fino a 14 dipendenti)"
"Accordo negoziale in tema di trattamento economico per l'anno 2010 per il personale della carriera direttiva";"Economico 2° biennio";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FIBA CISL;FABI";"25/10/2010";"01/01/2010";"31/12/2010";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo negoziale in tema di trattamento economico per l'anno 2010 per il personale della carriera operativa, dei servizi generali e di sicurezza e operaia";"Economico 2° biennio";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FIBA CISL;FABI";"25/10/2010";"01/01/2010";"31/12/2010";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo per il rinnovo del CCNL per i dipendenti delle aziende operanti nei settori Legno, Sughero, Mobile ed Arredamento e Boschivi e Forestali";"Accordo di rinnovo";"Edilizia";"FEDERLEGNOARREDO; FENEAL UIL; FILCA CISL; FILLEA CGIL";"13/12/2016";"01/04/2016";"";"31/03/2019";"LEGNO, ARREDAMENTO: Industrie"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"28/04/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Verbale di accordo di modifica del contenuto dell'accordo per il rinnovo del CCNL Turismo del 18 gennaio 2014";"Verbale Integrativo";"Commercio";"FEDERALBERGHI;FAITA;CONFCOMMERCIO;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL";"09/02/2017";"";"";"31/12/2018";"TURISMO (AZIENDE CONFCOMMERCIO)"
"Verbale di accordo 15 dicembre 2009 per il rinnovo del CCNL per i lavoratori dipendenti dalle imprese del sistema industriale integrato di servizi tessili e medici affini";"Accordo di rinnovo";"Tessili";"ASSOSISTEMA;FEMCA CISL;FILTEA CGIL;UILTA UIL";"15/12/2009";"01/07/2009";"";"30/06/2012";"LAVANDERIE, TINTORIE ... : Industrie"
"PULIZIA Disinfezione Disinfestazione (PMI Cooperative Artigiane)";"Verbale integrativo";"Aziende di Servizi";"CNA;CONFARTIGIANATO;CASARTIGIANI;CLAAI;FILCAMS CGIL;FISASCAT CISL;UILTRASPORTI UIL";"29/07/2004";"01/07/2003";"";"31/12/2004";"PULIZIA Disinfezione Disinfestazione (PMI Cooperative Artigiane)"
"ASSICURAZIONI: Agenti iscritti all'Albo";"Testo definitivo";"Credito Assicurazioni";"ANIA;SNA;UNAPASS";"23/12/2003";"23/12/2003";"";"31/12/2006";"ASSICURAZIONI: Agenti iscritti all'Albo"
"Verbale di accordo 28 marzo 2012 di adesione all'accordo di rinnovo del CCNL 8 febbraio 2011 per le imprese private operanti nel settore della distribuzione, recapito e servizi postali";"Accordo di rinnovo";"Aziende di Servizi";"FISE ARE; UGL COMUNICAZIONI";"28/03/2012";"01/01/2010";"";"31/12/2012";"RECAPITO CORRISPONDENZA"
"Verbale per il rinnovo del CCNL 24/11/2004 per i dirigenti di aziende produttrici di beni e servizi";"Accordo di rinnovo";"Altri Vari";"CONFINDUSTRIA;FEDERMANAGER";"25/11/2009";"25/11/2009";"";"31/12/2013";"DIRIGENTI: Aziende Industriali"
"CCNL per i dipendenti delle imprese artigiane e delle piccole e medie imprese industriali e dei consorzi artigiani, anche in forma cooperativista, di produzione dei laterizi e dei manufatti in cotto, manufatti in cemento ed affini";"Testo definitivo";"Edilizia";"CONFIMPRESEITALIA;CONFIMPRESE EDILIZIA;ACS;CSE;CSE FNILAPMI;CSE FNLEL;CSE COOP;CSE FNILASU;CSE FNLEI;CSE DIR";"22/12/2011";"01/04/2010";"";"31/03/2014";"Laterizi e manuf. in cemento: artigiane, PMI, cooperative (CONFIMPRESEITALIA-ACS-CSE)"
"AGENTI IN ATTIVITA' FINANZIARIE";"Testo definitivo";"Credito Assicurazioni";"UFI;MANAGERITALIA";"21/10/2004";"01/01/2005";"";"31/12/2008";"AGENTI IN ATTIVITA' FINANZIARIE"
"Ipotesi di accordo per il rinnovo del CCNL per i dipendenti delle piccole e medie aziende della comunicazione, informatica e dei servizi innovativi";"Accordo di rinnovo";"Poligrafici e Spettacolo";"UNIGEC CONFAPI;UNIMATICA CONFAPI;SLC CGIL;FISTEL CISL;UILCOM UIL;USPI";"12/04/2006";"01/01/2005";"30/06/2007";"30/06/2009";"COMUNICAZIONE, INFORMATICA E SERVIZI INNOVATIVI: P.M.I."
"CCNL della Mobilità / Area contrattuale Attività Ferroviarie";"Testo definitivo";"Trasporti";"AGENS;FEDERTRASPORTO;ANCP;FILT CGIL;FIT CISL;UILTRASPORTI;UGL TRASPORTI;FAST FERROVIE";"20/07/2012";"01/01/2012";"";"31/12/2014";"FERROVIE: Attivita' ferroviarie"
"Accordo recante la disciplina pattizia attuativa in Banca d'Italia della L.146/1990 e successive modifiche";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Verbale di accordo integrativo dell'ipotesi di accordo per il rinnovo del CCNL Area Alimentazione-Panificazione del 19 novembre 2013";"Verbale Integrativo";"Alimentaristi - Agroindustriale";"CNA Alimentare;CONFARTIGIANATO Alimentazione;CASARTIGIANI;CLAAI;FLAI CGIL;FAI CISL;UILA UIL";"10/12/2013";"";"";"";"ALIMENTARISTI: Artigiane"
"Ipotesi di accordo per il rinnovo della parte economica del CCL per i lavoratori dipendenti della SIPRA";"Accordo di rinnovo";"Poligrafici e Spettacolo";"SIPRA; SLC CGIL; FISTEL CISL; UILCOM UIL";"01/12/2009";"01/01/2009";"31/12/2010";"";"PUBBLICITA' (SIPRA PUBLICITAS)"
"Contratto nazionale per gli addetti del settore orafo, argentiero e della gioielleria 23 settembre 2010";"Testo definitivo";"Meccanici";"CONFINDUSTRIA FEDERORAFI;ASSOCIAZIONE ARGENTIERI;FIM CISL;UILM UIL";"23/09/2010";"01/10/2010";"";"31/10/2013";"ORAFI, ARGENTIERI: Industrie"
"Accordo negoziale in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"16/12/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"CCNL per i dipendenti delle imprese artigiane esercenti l'attività di escavazione, trivellazione e lavorazione dei materiali lapidei";"Testo definitivo";"Edilizia";"CEPA A;CEPA A COSTRUTTORI EDILI E AFFINI;CILA;LUCI;SI CEL;FNLE;CONF LAVORATORI";"26/03/2013";"26/03/2013";"";"25/03/2016";"LAPIDEI (Escavazione, Trivellazione e Lavorazione): imprese artigiane"
"Verbale di accordo in materia di indennità sostitutiva del premio di risultato di cui al verbale di accordo del 16 settembre 2010";"Verbale Integrativo";"Poligrafici e Spettacolo";"UNIGEC CONFAPI;UNIMATICA CONFAPI;SLC CGIL;FISTEL CISL;UILCOM UIL;USPI";"16/09/2010";"01/01/2011";"";"";"COMUNICAZIONE, INFORMATICA E SERVIZI INNOVATIVI: P.M.I."
"Accordo cornice in tema di contrattualizzazione del rapporto di impiego del personale della carriera direttiva";"Accordo di rinnovo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FIBA CISL";"18/02/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo negoziale con il quale viene definito il quadriennio 2006-2009 del personale della carriera operativa, dei servizi generali e di sicurezza e operaia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo negoziale in tema di codice etico per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo economico collettivo per la disciplina del rapporto di agenzia e rappresentanza commerciale del settore del COMMERCIO";"Testo definitivo";"Commercio";"FAPI;UGIFAI";"25/10/2013";"25/10/2013";"";"30/09/2016";"AGENZIA E RAPPRESENTANZA SETTORE COMMERCIO (Fapi-Ugifai)"
"Ipotesi di Accordo 26 luglio 2011 per il rinnovo del CCNL per dipendenti da imprese di pulizia, di disinfestazione e servizi integrati/multiservizi del 19/12/2007";"Accordo di rinnovo";"Aziende di Servizi";"FNIP CONFCOMMERCIO;UGL IGIENE AMBIENTALE";"26/07/2011";"01/01/2010";"";"30/04/2013";"PULIZIA: Imprese (Confcommercio)"
"IPOTESI DI ACCORDO parte economica dipendenti RAI";"Economico 2° biennio";"Poligrafici e Spettacolo";"RAI;SLC CGIL;FISTEL CISL;UILCOM UIL;UGL TELECOMUNICAZIONI;SNATER;LIBERSIND CONFSAL";"28/10/2009";"01/01/2008";"";"31/12/2009";"RAI"
"CCNL area alimentazione-panificazione per i lavoratori dipendenti delle aziende artigiane del settore alimentare e delle aziende del settore della panificazione";"Testo definitivo";"Alimentaristi - Agroindustriale";"CONFARTIGIANATO ALIMENTAZIONE;CNA ALIMENTARE;CASARTIGIANI;CLAAI;FLAI CGIL;FAI CISL;UILA UIL";"27/04/2010";"01/01/2010";"";"31/12/2012";"ALIMENTARISTI: Artigiane"
"Accordo in tema di contrattualizzazione del rapporto di impiego del personale della carriera direttiva";"Accordo di rinnovo";"Credito Assicurazioni";"BANCA D'ITALIA; SIBC CISAL";"13/07/2010";"01/01/2010";"";"31/12/2012";"BANCARI: Banca D'Italia - carriera Direttiva"
"Ipotesi di accordo per il rinnovo del CCNL per il personale artistico scritturato a tempo determinato dai pubblici esercizi con attività di trattenimento e spettacolo";"Accordo di rinnovo";"Poligrafici e Spettacolo";"FIPE SILB;SLC CGIL;FISTEL CISL;UILCOM UIL";"15/12/2011";"01/01/2012";"";"31/12/2014";"SPETTACOLO Esercizi Pubblici: Artisti a tempo determinato"
"CCNL per i dipendenti da aziende artigiane lavanderie, tintorie e affini";"Testo definitivo";"Tessili";"CONFIMPRESEITALIA;CONFIMPRESE ARTIGIANATO;ACS;CSE;CSE FULSCAM;CSE FNILAPMI;CSE FNLEI;CSE DIR;CSE COOP;CSE FNILASU";"22/12/2011";"01/01/2012";"";"31/12/2015";"Az. Artigiane di Lavanderie, Tintorie, affini (CONFIMPRESEITALIA-ACS-CSE)"
"CCNL per i dipendenti da aziende artigiane odontotecniche";"Testo definitivo";"Commercio";"CEPA;CONFIMPRESEITALIA;USAE";"28/01/2011";"02/03/2011";"";"01/03/2014";"Aziende Artigiane Odontotecniche (CEPA-CONFIMPRESEITALIA-USAE)"
"Accordo negoziale in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"16/12/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo recante la disciplina pattizia attuativa in Banca d'Italia della L.146/1990 e successive modifiche";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FIBA CISL";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FABI";"28/04/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
