Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"CCNL per le imprese private operanti nel settore della distribuzione, del recapito e dei servizi postali";"Testo definitivo";"Aziende di Servizi";"FISE ARE; SLC CGIL; SLP CISL; UIL POST; UILTRASPORTI; (adesione di UGL COMUNICAZIONI dal 28/3/2012)";"08/02/2011";"01/01/2010";"";"31/12/2012";"RECAPITO CORRISPONDENZA"
"Rinnovo del CCNL Imprese onoranze funebri 1.1.2009 - 31.12.2011";"Accordo di rinnovo";"Trasporti";"FENIOF;CONFCOMMERCIO;FILT CGIL;FIT CISL;UILTRASPORTI";"02/03/2010";"01/01/2009";"";"31/12/2011";"POMPE FUNEBRI: Agenzie Private"
"Accordo negoziale con il quale viene definito il quadriennio 2006-2009  per il personale della carriera direttiva";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"2° CCNL del personale dirigente della CONI SERVIZI SPA e delle Federazioni sportive nazionali";"Accordo di rinnovo";"Aziende di Servizi";"CONI SERVIZI SPA;FP CGIL;UIL PA;CISL FP";"25/02/2011";"01/01/2010";"";"31/12/2012";"CONI SERVIZI SpA: Dirigenti"
"Accordo per il rinnovo del CCNL 25 novembre 2009 per i dirigenti di aziende produttrici di beni e servizi";"Accordo di rinnovo";"Altri Vari";"CONFINDUSTRIA;FEDERMANAGER";"30/12/2014";"01/01/2015";"";"31/12/2018";"DIRIGENTI: Aziende Industriali"
"CCNL per i dipendenti di aziende artigiane odontotecniche";"Testo definitivo";"Commercio";"CONFIMPRESEITALIA;CONFIMPRESE ARTIGIANATO;ACS;CSE;CSE FULSCAM;CSE FNILAPMI;CSE FNLEI;CSE DIR;CSE COOP;CSE FNILASU";"22/12/2011";"01/01/2012";"";"31/12/2015";"Aziende Artigiane Odontotecniche (CONFIMPRESEITALIA-ACS-CSE)"
"Accordo per la stipula dell'assicurazione contro i rischi di morte e di invalidità permanente in favore del personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SINDIRETTIVO CIDA;SIBC CISAL;FABI;UILCA UIL";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FIBA CISL";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL per le lavoratrici e i lavoratori delle cooperative del settore socio-sanitario assistenziale-educativo e di inserimento lavorativo triennio 2010-2012";"Testo definitivo";"Enti e Istituzioni Private";"AGCI SOLIDARIETA';LEGACOOPSOCIALI;FEDERSOLIDARIETA' CONFCOOPERATIVE;FP CGIL;CISL FP;FISASCAT CISL;UIL FPL";"16/12/2011";"01/01/2010";"";"31/12/2012";"SERVIZI SOCIO-ASSISTENZIALI: Cooperative"
"Comunicazione 18 giugno 2010 relativa ai tre CCNL sottoscritti in data 14 giugno 2010";"Verbale integrativo";"Alimentaristi - Agroindustriale";"CICAS; CEI; CONFIMPRESA; SIA; ISA; SILSE";"18/06/2010";"";"";"";"ALIMENTARISTI: Artigiane (CICAS CEI CONFIMPRESA)"
"CCNL per le cooperative e le imprese esercenti attività nel settore "RADIOTAXI E AUTOSERVIZI PUBBLICI NON DI LINEA E AFFINI"";"Testo definitivo";"Trasporti";"UNCI;URI;FAST;FAST CONFSAL;URI TAXI;CONFSAL";"20/11/2013";"01/06/2013";"";"31/05/2016";"RADIOTAXI"
"CCNL per il personale dipendente da imprese esercenti servizi di telecomunicazione";"Testo definitivo";"Aziende di Servizi";"ASSTEL;SLC CGIL;FISTEL CISL;UILCOM UIL;UGL TELECOMUNICAZIONI";"01/02/2013";"01/02/2013";"";"31/12/2014";"TELECOMUNICAZIONI"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SINDIRETTIVO CIDA;SIBC CISAL;FABI;UILCA UIL";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo in tema di copertura delle spese sanitarie per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo negoziale recante norme in tema di rappresentanti dei lavoratori per la sicurezza";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL per gli addetti all'industria delle piastrelle di ceramica, dei materiali refrattari, ceramica sanitaria, di porcellana e ceramica per uso domestico e ornamentale, di ceramica tecnica, di tubi in gres";"Testo definitivo";"Chimici";"CONFINDUSTRIA CERAMICA;FILCTEM CGIL;FEMCA CISL;UILTEC UIL";"28/07/2014";"01/07/2013";"";"30/06/2016";"PIASTRELLE E REFRATTARI: Industrie"
"Accordo negoziale in tema di codice etico per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FABI;FIBA CISL";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"TURISMO (AZIENDE CONFTERZIARIO)";"Testo definitivo";"Commercio";"CONFTERZIARIO;ALAR;CIU;CONFLAVORATORI";"24/07/2004";"01/08/2004";"31/07/2006";"31/07/2008";"TURISMO (AZIENDE CONFTERZIARIO)"
"IPOTESI DI ACCORDO di rinnovo per il triennio 2010-2011-2012, e in via del tutto eccezionale anche per il 2013, del CCL per quadri, impiegati ed operai dipendenti da RAI-Radiotelevisione Italiana, Rai Cinema, Rai Net, Rai Way e Rai World";"Accordo di rinnovo";"Poligrafici e Spettacolo";"RAI;UNINDUSTRIA CONFINDUSTRIA;SLC CGIL;FISTEL CISL;UILCOM UIL;UGL TELECOMUNICAZIONI;SNATER;LIBERSIND CONFSAL";"07/02/2013";"01/01/2010";"";"31/12/2013";"RAI"
"Verbale di accordo 3/2/2010 per il rinnovo del CCNL del personale dirigente dell'ANAS SpA";"Accordo di rinnovo";"Enti e Istituzioni Private";"ANAS SPA;FNDAI FEDERMANAGER";"03/02/2010";"01/01/2009";"";"31/12/2011";"ANAS: Dirigenti (Ente Nazionale per le Strade)"
"Ipotesi di Accordo per il CCNL per i dipendenti delle imprese gestite o partecipate dagli enti locali, esercenti farmacie, parafarmacie, magazzini farmaceutici all'ingrosso, laboratori farmaceutici";"Testo definitivo";"Commercio";"ASSOFARM;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL";"22/07/2013";"22/07/2013";"";"31/12/2015";"FARMACIE MUNICIPALIZZATE"
"Accordo integrativo al CCNL AIOP RSA";"Verbale Integrativo";"Enti e Istituzioni Private";"AIOP;UGL SANITA';SI CEL;CONFSAL;FIALS;FSE";"11/06/2012";"";"";"";"RESIDENZE SANITARIE ASSISTENZIALI (AIOP)"
"Accordo per la stipula dell'assicurazione contro i rischi di morte e di invalidità permanente in favore del personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI";"14/01/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Ipotesi di accordo per il rinnovo del CCNL Acconciatura, Estetica, Tricologia non curativa, Tatuaggio, Piercing e Centri Benessere";"Accordo di rinnovo";"Commercio";"CNA Unione benessere e sanità;CONFARTIGIANATO Benessere Acconciatori;CONFARTIGIANATO Benessere Estetica;CASARTIGIANI;CLAAI Federnas Unamem;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL";"08/09/2014";"01/01/2013";"";"30/06/2016";"PARRUCCHIERI: Artigiane"
"CCNL Area Legno-Lapidei per i lavoratori dipendenti delle aziende dei settori Legno, Arredamento, Mobili, Escavazione e Lavorazione di materiali Lapidei";"Testo definitivo";"Edilizia";"CNA Produzione; CNA Costruzioni; CNA; CONFARTIGIANATO Legno e Arredo; CONFARTIGIANATO Marmisti; CONFARTIGIANATO IMPRESE; CASARTIGIANI; CLAAI; FENEAL UIL; FILCA CISL; FILLEA CGIL";"25/03/2014";"01/01/2013";"";"31/12/2015";"Area LEGNO LAPIDEI: Artigiane"
"CCNL micro, piccole e medie imprese, esercenti l’attività nel settore turismo";"Testo definitivo";"Commercio";"ITALIA TURISMO CIDEC;CIDEC;USAE";"22/09/2010";"01/10/2010";"";"30/09/2013";"TURISMO: micro piccole medie imprese del settore - CIDEC-USAE"
"CCNL per emotional manager - coach - counselor dipendenti da aziende e studi professionali e dipendenti da imprese del commercio, dei servizi e del terziario";"Testo definitivo";"Commercio";"COMPIE;AEM;ULE";"13/12/2011";"13/12/2011";"";"12/12/2014";"Aziende e Studi Professionali: Emotional Manager - Coach - Conselor"
"Adesione all'accordo di rinnovo di 2° biennio del ccnl per gli addetti all'industria chimica farmaceutica, settore coibentazioni termiche acustiche";"Verbale integrativo";"Chimici";"ANICTA; UGL CHIMICI";"28/02/2008";"01/01/2008";"";"31/12/2009";"COIBENTAZIONI TERMICHE ACUSTICHE"
"Accordo negoziale in tema di codice etico per il personale della Banca d'Italia";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;SINDIRETTIVO CIDA";"25/10/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
