type|code|description|section
CLASS|24.54.03|Fusione di getti in nichel|C
CLASS|24.54.09|Fusione di getti in altri metalli non ferrosi n.c.a.|C
DIVISION|25|Fabbricazione di prodotti in metallo| esclusi macchinari e attrezzature|C
GROUP|25.1|Fabbricazione di elementi da costruzione in metallo|C
GROUP|25.11|Fabbricazione di strutture metalliche e di parti di strutture metalliche|C
CLASS|25.11.0|Fabbricazione di strutture metalliche e di parti di strutture metalliche|C
CLASS|25.11.00|Fabbricazione di strutture metalliche e di parti di strutture metalliche|C
GROUP|25.12|Fabbricazione di porte e finestre in metallo|C
CLASS|25.12.1|Fabbricazione di porte| finestre e loro telai| imposte e cancelli in metallo|C
CLASS|25.12.10|Fabbricazione di porte| finestre e loro telai| imposte e cancelli in metallo|C
CLASS|25.12.2|Fabbricazione di tende in metallo e prodotti simili|C
CLASS|25.12.20|Fabbricazione di tende in metallo e prodotti simili|C
GROUP|25.2|Fabbricazione di cisterne| serbatoi e contenitori in metallo|C
GROUP|25.21|Fabbricazione di radiatori| generatori di vapore e contenitori in metallo per caldaie per il|C
CLASS|25.21.1|Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale|C
CLASS|25.21.10|Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale|C
CLASS|25.21.2|Fabbricazione di generatori di vapore|C
CLASS|25.21.20|Fabbricazione di generatori di vapore|C
GROUP|25.22|Fabbricazione di altre cisterne| serbatoi e contenitori in metallo|C
CLASS|25.22.0|Fabbricazione di altre cisterne| serbatoi e contenitori in metallo|C
CLASS|25.22.00|Fabbricazione di altre cisterne| serbatoi e contenitori in metallo|C
GROUP|25.3|Fabbricazione di armi e munizioni|C
GROUP|25.30|Fabbricazione di armi e munizioni|C
CLASS|25.30.1|Fabbricazione di armi e munizioni per uso militare|C
CLASS|25.30.10|Fabbricazione di armi e munizioni per uso militare|C
CLASS|25.30.2|Fabbricazione di armi e munizioni per uso sportivo e civile|C
CLASS|25.30.20|Fabbricazione di armi e munizioni per uso sportivo e civile|C
GROUP|25.4|Fucinatura e formatura dei metalli e metallurgia delle polveri|C
GROUP|25.40|Fucinatura e formatura dei metalli e metallurgia delle polveri|C
CLASS|25.40.0|Fucinatura e formatura dei metalli e metallurgia delle polveri|C
CLASS|25.40.00|Fucinatura e formatura dei metalli e metallurgia delle polveri|C
GROUP|25.5|Trattamento e rivestimento dei metalli; lavori di meccanica generale|C
GROUP|25.51|Rivestimento dei metalli|C
CLASS|25.51.0|Rivestimento dei metalli|C
CLASS|25.51.00|Rivestimento dei metalli|C
GROUP|25.52|Trattamento termico dei metalli|C
CLASS|25.52.0|Trattamento termico dei metalli|C
CLASS|25.52.00|Trattamento termico dei metalli|C
GROUP|25.53|Lavori di meccanica generale dei metalli|C
CLASS|25.53.0|Lavori di meccanica generale dei metalli|C
CLASS|25.53.00|Lavori di meccanica generale dei metalli|C
GROUP|25.6|Fabbricazione di articoli di coltelleria e posateria| utensili e oggetti di ferramenta|C
GROUP|25.61|Fabbricazione di articoli di coltelleria e posateria|C
CLASS|25.61.0|Fabbricazione di articoli di coltelleria e posateria|C
CLASS|25.61.00|Fabbricazione di articoli di coltelleria e posateria|C
GROUP|25.62|Fabbricazione di serrature e cerniere|C
CLASS|25.62.0|Fabbricazione di serrature e cerniere|C
CLASS|25.62.00|Fabbricazione di serrature e cerniere|C
GROUP|25.63|Fabbricazione di utensileria|C
CLASS|25.63.1|Fabbricazione di utensileria ad azionamento manuale e di parti intercambiabili per macchine|C
CLASS|25.63.11|Fabbricazione di utensileria ad azionamento manuale|C
CLASS|25.63.12|Fabbricazione di parti intercambiabili per macchine utensili|C
CLASS|25.63.2|Fabbricazione di stampi| portastampi| sagome| forme per macchine|C
CLASS|25.63.20|Fabbricazione di stampi| portastampi| sagome| forme per macchine|C
GROUP|25.9|Fabbricazione di altri prodotti in metallo|C
GROUP|25.91|Fabbricazione di bidoni in acciaio e di contenitori simili|C
CLASS|25.91.0|Fabbricazione di bidoni in acciaio e di contenitori simili|C
CLASS|25.91.00|Fabbricazione di bidoni in acciaio e di contenitori simili|C
GROUP|25.92|Fabbricazione di imballaggi in metallo leggero|C
CLASS|25.92.0|Fabbricazione di imballaggi in metallo leggero|C
CLASS|25.92.00|Fabbricazione di imballaggi in metallo leggero|C
GROUP|25.93|Fabbricazione di prodotti fabbricati con fili metallici| catene e molle|C
CLASS|25.93.1|Fabbricazione di prodotti fabbricati con fili metallici|C
CLASS|25.93.10|Fabbricazione di prodotti fabbricati con fili metallici|C
CLASS|25.93.2|Fabbricazione di catene|C
CLASS|25.93.20|Fabbricazione di catene|C
CLASS|25.93.3|Fabbricazione di molle|C
CLASS|25.93.30|Fabbricazione di molle|C
GROUP|25.94|Fabbricazione di articoli di bulloneria|C
CLASS|25.94.0|Fabbricazione di articoli di bulloneria|C
CLASS|25.94.00|Fabbricazione di articoli di bulloneria|C
GROUP|25.99|Fabbricazione di altri prodotti in metallo n.c.a.|C
CLASS|25.99.1|Fabbricazione di articoli domestici in metallo per la cucina e le stanze da bagno|C
CLASS|25.99.10|Fabbricazione di articoli domestici in metallo per la cucina e le stanze da bagno|C
CLASS|25.99.2|Fabbricazione di casseforti| cassette di sicurezza e porte metalliche blindate|C
CLASS|25.99.20|Fabbricazione di casseforti| cassette di sicurezza e porte metalliche blindate|C
CLASS|25.99.9|Fabbricazione di altri prodotti vari in metallo n.c.a.|C
CLASS|25.99.90|Fabbricazione di altri prodotti vari in metallo n.c.a.|C
DIVISION|26|Fabbricazione di computer e prodotti di elettronica e ottica|C
GROUP|26.1|Fabbricazione di componenti elettronici e schede elettroniche|C
GROUP|26.11|Fabbricazione di componenti elettronici|C
CLASS|26.11.0|Fabbricazione di componenti elettronici|C
CLASS|26.11.00|Fabbricazione di componenti elettronici|C
GROUP|26.12|Fabbricazione di schede elettroniche integrate|C
CLASS|26.12.0|Fabbricazione di schede elettroniche integrate|C
CLASS|26.12.00|Fabbricazione di schede elettroniche integrate|C
GROUP|26.2|Fabbricazione di computer e unità periferiche|C
GROUP|26.20|Fabbricazione di computer e unità periferiche|C
CLASS|26.20.0|Fabbricazione di computer e unità periferiche|C
CLASS|26.20.00|Fabbricazione di computer e unità periferiche|C
GROUP|26.3|Fabbricazione di apparecchiature per le comunicazioni|C
GROUP|26.30|Fabbricazione di apparecchiature per le comunicazioni|C
CLASS|26.30.0|Fabbricazione di apparecchiature per le comunicazioni|C
CLASS|26.30.01|Fabbricazione di apparecchiature trasmittenti radiotelevisive|C
CLASS|26.30.09|Fabbricazione di altre apparecchiature per le comunicazioni|C
GROUP|26.4|Fabbricazione di prodotti di elettronica di consumo|C
GROUP|26.40|Fabbricazione di prodotti di elettronica di consumo|C
CLASS|26.40.0|Fabbricazione di prodotti di elettronica di consumo|C
CLASS|26.40.01|Fabbricazione di console per videogiochi|C
CLASS|26.40.09|Fabbricazione di altri prodotti di elettronica di consumo|C
GROUP|26.5|Fabbricazione di strumenti di misurazione e prova e di orologi|C
GROUP|26.51|Fabbricazione di strumenti e apparecchi di misurazione| prova e navigazione|C
CLASS|26.51.1|Fabbricazione di strumenti per navigazione| idrologia| geofisica e meteorologia|C
CLASS|26.51.10|Fabbricazione di strumenti per navigazione| idrologia| geofisica e meteorologia|C
CLASS|26.51.2|Fabbricazione di altri strumenti e apparecchi di misurazione e prova|C
CLASS|26.51.21|Fabbricazione di sistemi antifurto e antincendio|C
CLASS|26.51.29|Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.|C
GROUP|26.52|Fabbricazione di orologi|C
CLASS|26.52.0|Fabbricazione di orologi|C
CLASS|26.52.00|Fabbricazione di orologi|C
GROUP|26.6|Fabbricazione di apparecchiature per irradiazione| elettromedicali ed|C
GROUP|26.60|Fabbricazione di apparecchiature per irradiazione| elettromedicali ed elettroterapeutiche|C
CLASS|26.60.0|Fabbricazione di apparecchiature per irradiazione| elettromedicali ed elettroterapeutiche|C
CLASS|26.60.01|Fabbricazione di apparecchiature per irradiazione| elettromedicali ed elettroterapeutiche per usi medici|C
CLASS|26.60.02|Fabbricazione di apparecchiature per irradiazione| elettromedicali ed elettroterapeutiche per usi non medici|C
GROUP|26.7|Fabbricazione di strumenti ottici| supporti magnetici e ottici e apparecchiature|C
GROUP|26.70|Fabbricazione di strumenti ottici| supporti magnetici e ottici e apparecchiature fotografiche|C
CLASS|26.70.1|Fabbricazione di strumenti ottici| strumenti ottici di precisione| misurazione e controllo|C
CLASS|26.70.11|Fabbricazione di strumenti ottici e strumenti ottici di precisione|C
CLASS|26.70.12|Fabbricazione di strumenti ottici di misurazione e controllo|C
CLASS|26.70.2|Fabbricazione di supporti magnetici e ottici|C
CLASS|26.70.20|Fabbricazione di supporti magnetici e ottici|C
CLASS|26.70.3|Fabbricazione di apparecchiature fotografiche|C
CLASS|26.70.30|Fabbricazione di apparecchiature fotografiche|C
DIVISION|27|Fabbricazione di apparecchiature elettriche|C
GROUP|27.1|Fabbricazione di motori| generatori e trasformatori elettrici e di apparecchiature|C
GROUP|27.11|Fabbricazione di motori| generatori e trasformatori elettrici|C
CLASS|27.11.0|Fabbricazione di motori| generatori e trasformatori elettrici|C
CLASS|27.11.00|Fabbricazione di motori| generatori e trasformatori elettrici|C
GROUP|27.12|Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità|C
CLASS|27.12.0|Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità|C
CLASS|27.12.00|Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità|C
GROUP|27.2|Fabbricazione di batterie e accumulatori|C
GROUP|27.20|Fabbricazione di batterie e accumulatori|C
CLASS|27.20.0|Fabbricazione di batterie e accumulatori|C
CLASS|27.20.00|Fabbricazione di batterie e accumulatori|C
GROUP|27.3|Fabbricazione di cablaggi e attrezzature per cablaggio|C
GROUP|27.31|Fabbricazione di cavi in fibra ottica|C
CLASS|27.31.0|Fabbricazione di cavi in fibra ottica|C
CLASS|27.31.00|Fabbricazione di cavi in fibra ottica|C
GROUP|27.32|Fabbricazione di altri fili e cavi elettronici ed elettrici|C
CLASS|27.32.0|Fabbricazione di altri fili e cavi elettronici ed elettrici|C
CLASS|27.32.00|Fabbricazione di altri fili e cavi elettronici ed elettrici|C
GROUP|27.33|Fabbricazione di attrezzature per cablaggio|C
CLASS|27.33.0|Fabbricazione di attrezzature per cablaggio|C
CLASS|27.33.00|Fabbricazione di attrezzature per cablaggio|C
GROUP|27.4|Fabbricazione di apparecchiature per l'illuminazione|C
GROUP|27.40|Fabbricazione di apparecchiature per l'illuminazione|C
CLASS|27.40.0|Fabbricazione di apparecchiature per l'illuminazione|C
CLASS|27.40.01|Fabbricazione di apparecchiature per l'illuminazione per mezzi di trasporto|C
CLASS|27.40.02|Fabbricazione di luminarie per feste|C
CLASS|27.40.09|Fabbricazione di altre apparecchiature per l'illuminazione|C
GROUP|27.5|Fabbricazione di apparecchi per uso domestico|C
GROUP|27.51|Fabbricazione di elettrodomestici|C
CLASS|27.51.0|Fabbricazione di elettrodomestici|C
CLASS|27.51.00|Fabbricazione di elettrodomestici|C
GROUP|27.52|Fabbricazione di apparecchi non elettrici per uso domestico|C
CLASS|27.52.0|Fabbricazione di apparecchi non elettrici per uso domestico|C
CLASS|27.52.00|Fabbricazione di apparecchi non elettrici per uso domestico|C
GROUP|27.9|Fabbricazione di altre apparecchiature elettriche|C
GROUP|27.90|Fabbricazione di altre apparecchiature elettriche|C
CLASS|27.90.0|Fabbricazione di altre apparecchiature elettriche|C
CLASS|27.90.01|Fabbricazione di apparecchiature elettriche per saldatura e brasatura|C
CLASS|27.90.02|Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione|C
CLASS|27.90.03|Fabbricazione di capacitori| resistenze| condensatori elettrici e simili|C
CLASS|27.90.04|Fabbricazione di apparecchiature elettriche per parrucchieri| solarium e centri estetici|C
CLASS|27.90.09|Fabbricazione di altre apparecchiature elettriche n.c.a.|C
DIVISION|28|Fabbricazione di macchinari e apparecchiature n.c.a.|C
GROUP|28.1|Fabbricazione di macchine di impiego generale|C
GROUP|28.11|Fabbricazione di motori e turbine| esclusi i motori per aeromobili| veicoli e motocicli|C
CLASS|28.11.1|Fabbricazione di motori| esclusi motori per aeromobili| veicoli e motocicli|C
CLASS|28.11.10|Fabbricazione di motori| esclusi motori per aeromobili| veicoli e motocicli|C
CLASS|28.11.2|Fabbricazione di turbine|C
CLASS|28.11.20|Fabbricazione di turbine|C
GROUP|28.12|Fabbricazione di apparecchiature fluidodinamiche|C
CLASS|28.12.0|Fabbricazione di apparecchiature fluidodinamiche|C
CLASS|28.12.00|Fabbricazione di apparecchiature fluidodinamiche|C
GROUP|28.13|Fabbricazione di altre pompe e compressori|C
CLASS|28.13.0|Fabbricazione di altre pompe e compressori|C
CLASS|28.13.00|Fabbricazione di altre pompe e compressori|C
GROUP|28.14|Fabbricazione di altri rubinetti e valvole|C
CLASS|28.14.0|Fabbricazione di altri rubinetti e valvole|C
CLASS|28.14.00|Fabbricazione di altri rubinetti e valvole|C
GROUP|28.15|Fabbricazione di cuscinetti| ingranaggi e organi di trasmissione|C
CLASS|28.15.0|Fabbricazione di cuscinetti| ingranaggi e organi di trasmissione|C
CLASS|28.15.00|Fabbricazione di cuscinetti| ingranaggi e organi di trasmissione|C
GROUP|28.2|Fabbricazione di altre macchine di impiego generale|C
GROUP|28.21|Fabbricazione di forni| caldaie e apparecchiature fisse per il riscaldamento domestico|C
CLASS|28.21.1|Fabbricazione di forni|C
CLASS|28.21.10|Fabbricazione di forni|C
CLASS|28.21.2|Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico|C
CLASS|28.21.20|Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico|C
GROUP|28.22|Fabbricazione di apparecchi di sollevamento e movimentazione|C
CLASS|28.22.0|Fabbricazione di apparecchi di sollevamento e movimentazione|C
CLASS|28.22.01|Fabbricazione di ascensori| scale mobili e tappeti mobili|C
CLASS|28.22.09|Fabbricazione di altri apparecchi di sollevamento e movimentazione|C
GROUP|28.23|Fabbricazione di macchine e attrezzature per ufficio| esclusi computer e unità periferiche|C
CLASS|28.23.0|Fabbricazione di macchine e attrezzature per ufficio| esclusi computer e unità periferiche|C
CLASS|28.23.00|Fabbricazione di macchine e attrezzature per ufficio| esclusi computer e unità periferiche|C
GROUP|28.24|Fabbricazione di utensili portatili a motore|C
CLASS|28.24.0|Fabbricazione di utensili portatili a motore|C
CLASS|28.24.00|Fabbricazione di utensili portatili a motore|C
GROUP|28.25|Fabbricazione di apparecchiature di climatizzazione per uso non domestico|C
CLASS|28.25.0|Fabbricazione di apparecchiature di climatizzazione per uso non domestico|C
CLASS|28.25.00|Fabbricazione di apparecchiature di climatizzazione per uso non domestico|C
GROUP|28.29|Fabbricazione di altre macchine di impiego generale n.c.a.|C
CLASS|28.29.1|Fabbricazione di bilance e distributori automatici|C
CLASS|28.29.10|Fabbricazione di bilance e distributori automatici|C
CLASS|28.29.2|Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie|C
CLASS|28.29.20|Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche|C
CLASS|28.29.3|Fabbricazione di macchine per la dosatura| la confezione e per l'imballaggio|C
CLASS|28.29.30|Fabbricazione di macchine per la dosatura| la confezione e per l'imballaggio|C
CLASS|28.29.4|Fabbricazione di macchine per la pulizia per uso non domestico|C
CLASS|28.29.41|Fabbricazione di macchine per la pulizia di pavimenti| superfici e ambienti per uso non domestico|C
CLASS|28.29.49|Fabbricazione di altre macchine per la pulizia per uso non domestico|C
CLASS|28.29.9|Fabbricazione di altre macchine varie di impiego generale|C
CLASS|28.29.91|Fabbricazione di apparecchi per depurare e filtrare liquidi|C
CLASS|28.29.92|Fabbricazione di livelle| metri doppi a nastro e utensili simili| strumenti di precisione per meccanica|C
CLASS|28.29.99|Fabbricazione di altre macchine varie di impiego generale n.c.a.|C
GROUP|28.3|Fabbricazione di macchine per l'agricoltura e la silvicoltura|C
GROUP|28.30|Fabbricazione di macchine per l'agricoltura e la silvicoltura|C
CLASS|28.30.1|Fabbricazione di trattori per l'agricoltura e la silvicoltura|C
CLASS|28.30.10|Fabbricazione di trattori per l'agricoltura e la silvicoltura|C
CLASS|28.30.9|Fabbricazione di altre macchine per l'agricoltura e la silvicoltura|C
CLASS|28.30.91|Fabbricazione di macchine per il giardinaggio e la cura del verde|C
CLASS|28.30.99|Fabbricazione di altre macchine per l'agricoltura e la silvicoltura n.c.a.|C
GROUP|28.4|Fabbricazione di macchine per la deformazione dei metalli e di altre macchine|C
GROUP|28.41|Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per|C
CLASS|28.41.0|Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la|C
CLASS|28.41.00|Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei|C
GROUP|28.42|Fabbricazione di altre macchine utensili|C
CLASS|28.42.0|Fabbricazione di altre macchine utensili|C
CLASS|28.42.00|Fabbricazione di altre macchine utensili|C
GROUP|28.9|Fabbricazione di altre macchine per impieghi speciali|C
GROUP|28.91|Fabbricazione di macchine per la metallurgia|C
CLASS|28.91.0|Fabbricazione di macchine per la metallurgia|C
CLASS|28.91.00|Fabbricazione di macchine per la metallurgia|C
GROUP|28.92|Fabbricazione di macchine da miniera| cava e cantiere|C
CLASS|28.92.0|Fabbricazione di macchine da miniera| cava e cantiere|C
CLASS|28.92.00|Fabbricazione di macchine da miniera| cava e cantiere|C
GROUP|28.93|Fabbricazione di macchine per l'industria alimentare| delle bevande e del tabacco|C
CLASS|28.93.0|Fabbricazione di macchine per l'industria alimentare| delle bevande e del tabacco|C
CLASS|28.93.00|Fabbricazione di macchine per l'industria alimentare| delle bevande e del tabacco|C
GROUP|28.94|Fabbricazione di macchine per l'industria tessile| dell'abbigliamento e del cuoio|C
CLASS|28.94.1|Fabbricazione di macchine tessili|C
CLASS|28.94.10|Fabbricazione di macchine tessili|C
CLASS|28.94.2|Fabbricazione di macchine per la lavorazione delle pelli e del cuoio|C
CLASS|28.94.20|Fabbricazione di macchine per la lavorazione delle pelli e del cuoio|C
CLASS|28.94.3|Fabbricazione di macchine per lavanderie e stirerie|C
CLASS|28.94.30|Fabbricazione di macchine per lavanderie e stirerie|C
GROUP|28.95|Fabbricazione di macchine per l'industria della carta e del cartone|C
CLASS|28.95.0|Fabbricazione di macchine per l'industria della carta e del cartone|C
CLASS|28.95.00|Fabbricazione di macchine per l'industria della carta e del cartone|C
GROUP|28.96|Fabbricazione di macchine per l'industria delle materie plastiche e della gomma|C
CLASS|28.96.0|Fabbricazione di macchine per l'industria delle materie plastiche e della gomma|C
CLASS|28.96.00|Fabbricazione di macchine per l'industria delle materie plastiche e della gomma|C
GROUP|28.97|Fabbricazione di macchine per la produzione additiva|C
CLASS|28.97.0|Fabbricazione di macchine per la produzione additiva|C
CLASS|28.97.01|Fabbricazione di macchine per la produzione additiva per deposizione di materiali metallici|C
CLASS|28.97.02|Fabbricazione di macchine per la produzione additiva per deposizione di materie plastiche o di gomma|C
CLASS|28.97.09|Fabbricazione di macchine per la produzione additiva n.c.a.|C
GROUP|28.99|Fabbricazione di altre macchine per impieghi speciali n.c.a.|C
CLASS|28.99.1|Fabbricazione di macchine per la stampa e la legatoria|C
CLASS|28.99.10|Fabbricazione di macchine per la stampa e la legatoria|C
CLASS|28.99.2|Fabbricazione di robot industriali con compiti multipli per scopi speciali|C
CLASS|28.99.20|Fabbricazione di robot industriali con compiti multipli per scopi speciali|C
CLASS|28.99.9|Fabbricazione di altre macchine varie per impieghi speciali n.c.a.|C
CLASS|28.99.91|Fabbricazione di apparecchiature per il lancio di aeromobili| catapulte per portaerei e relative attrezzature|C
CLASS|28.99.92|Fabbricazione di giostre| altalene e altre attrazioni di divertimento|C
CLASS|28.99.93|Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote e altre apparecchiature|C
CLASS|28.99.99|Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.|C
DIVISION|29|Fabbricazione di autoveicoli| rimorchi e semirimorchi|C
GROUP|29.1|Fabbricazione di autoveicoli|C
GROUP|29.10|Fabbricazione di autoveicoli|C
CLASS|29.10.0|Fabbricazione di autoveicoli|C
CLASS|29.10.00|Fabbricazione di autoveicoli|C
GROUP|29.2|Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e|C
GROUP|29.20|Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi|C
CLASS|29.20.0|Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi|C
CLASS|29.20.00|Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi|C
GROUP|29.3|Fabbricazione di parti e accessori per autoveicoli|C
GROUP|29.31|Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli|C
CLASS|29.31.0|Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli|C
CLASS|29.31.00|Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli|C
GROUP|29.32|Fabbricazione di altre parti e accessori per autoveicoli|C
CLASS|29.32.0|Fabbricazione di altre parti e accessori per autoveicoli|C
CLASS|29.32.00|Fabbricazione di altre parti e accessori per autoveicoli|C
DIVISION|30|Fabbricazione di altri mezzi di trasporto|C
GROUP|30.1|Costruzione di navi e imbarcazioni|C
GROUP|30.11|Costruzione di navi e di strutture galleggianti per scopi civili|C
CLASS|30.11.0|Costruzione di navi e di strutture galleggianti per scopi civili|C
CLASS|30.11.00|Costruzione di navi e di strutture galleggianti per scopi civili|C
GROUP|30.12|Costruzione di imbarcazioni da diporto e sportive|C
CLASS|30.12.0|Costruzione di imbarcazioni da diporto e sportive|C
CLASS|30.12.00|Costruzione di imbarcazioni da diporto e sportive|C
GROUP|30.13|Costruzione di navi e imbarcazioni per scopi militari|C
CLASS|30.13.0|Costruzione di navi e imbarcazioni per scopi militari|C
CLASS|30.13.00|Costruzione di navi e imbarcazioni per scopi militari|C
GROUP|30.2|Costruzione di locomotive e di materiale rotabile ferro-tranviario|C
GROUP|30.20|Costruzione di locomotive e di materiale rotabile ferro-tranviario|C
CLASS|30.20.0|Costruzione di locomotive e di materiale rotabile ferro-tranviario|C
CLASS|30.20.00|Costruzione di locomotive e di materiale rotabile ferro-tranviario|C
GROUP|30.3|Fabbricazione di aeromobili| veicoli spaziali e relativi equipaggiamenti|C
GROUP|30.31|Fabbricazione di aeromobili| veicoli spaziali e relativi equipaggiamenti per scopi civili|C
CLASS|30.31.0|Fabbricazione di aeromobili| veicoli spaziali e relativi equipaggiamenti per scopi civili|C
CLASS|30.31.00|Fabbricazione di aeromobili| veicoli spaziali e relativi equipaggiamenti per scopi civili|C
GROUP|30.32|Fabbricazione di aeromobili| veicoli spaziali e relativi equipaggiamenti per scopi militari|C
CLASS|30.32.0|Fabbricazione di aeromobili| veicoli spaziali e relativi equipaggiamenti per scopi militari|C
CLASS|30.32.00|Fabbricazione di aeromobili| veicoli spaziali e relativi equipaggiamenti per scopi militari|C
GROUP|30.4|Fabbricazione di veicoli militari da combattimento|C
GROUP|30.40|Fabbricazione di veicoli militari da combattimento|C
CLASS|30.40.0|Fabbricazione di veicoli militari da combattimento|C
CLASS|30.40.00|Fabbricazione di veicoli militari da combattimento|C
GROUP|30.9|Fabbricazione di mezzi di trasporto n.c.a.|C
GROUP|30.91|Fabbricazione di motocicli|C
CLASS|30.91.1|Fabbricazione di motocicli| escluse parti e accessori|C
CLASS|30.91.11|Fabbricazione di motori per motocicli|C
CLASS|30.91.12|Fabbricazione di motocicli| esclusi motori|C
CLASS|30.91.2|Fabbricazione di parti e accessori per motocicli|C
CLASS|30.91.20|Fabbricazione di parti e accessori per motocicli|C
GROUP|30.92|Fabbricazione di biciclette e veicoli per disabili|C
CLASS|30.92.1|Fabbricazione di biciclette| escluse parti e accessori|C
CLASS|30.92.10|Fabbricazione di biciclette| escluse parti e accessori|C
CLASS|30.92.2|Fabbricazione di parti e accessori per biciclette|C
CLASS|30.92.20|Fabbricazione di parti e accessori per biciclette|C
CLASS|30.92.3|Fabbricazione di veicoli per disabili|C
CLASS|30.92.30|Fabbricazione di veicoli per disabili|C
CLASS|30.92.4|Fabbricazione di carrozzine e passeggini|C
CLASS|30.92.40|Fabbricazione di carrozzine e passeggini|C
GROUP|30.99|Fabbricazione di altri mezzi di trasporto n.c.a.|C
CLASS|30.99.0|Fabbricazione di altri mezzi di trasporto n.c.a.|C
CLASS|30.99.00|Fabbricazione di altri mezzi di trasporto n.c.a.|C
DIVISION|31|Fabbricazione di mobili|C
GROUP|31.0|Fabbricazione di mobili|C
GROUP|31.00|Fabbricazione di mobili|C
CLASS|31.00.1|Fabbricazione di mobili per negozi| uffici e altri spazi per collettività|C
CLASS|31.00.11|Fabbricazione di moduli dedicati al comfort acustico per negozi| uffici e altri spazi per collettività|C
CLASS|31.00.12|Fabbricazione di sedie e poltrone per negozi|C
CLASS|31.00.13|Fabbricazione di altri mobili per negozi|C
CLASS|31.00.14|Fabbricazione di sedie e poltrone per uffici e altri spazi per collettività|C
CLASS|31.00.15|Fabbricazione di altri mobili per uffici e altri spazi per collettività|C
CLASS|31.00.2|Fabbricazione di mobili da cucina|C
CLASS|31.00.20|Fabbricazione di mobili da cucina|C
CLASS|31.00.3|Fabbricazione di altri mobili per la casa|C
CLASS|31.00.31|Fabbricazione di mobili per arredo interno| esclusi mobili da cucina| sedie| divani e prodotti simili|C
CLASS|31.00.32|Fabbricazione di mobili per arredo esterno|C
CLASS|31.00.33|Fabbricazione di sedie e sedili|C
CLASS|31.00.34|Fabbricazione di divani| divani letto e poltrone|C
CLASS|31.00.35|Fabbricazione di materassi|C
CLASS|31.00.36|Fabbricazione di parti e accessori di mobili|C
CLASS|31.00.37|Finitura di mobili|C
CLASS|31.00.39|Fabbricazione di altri mobili n.c.a.|C
DIVISION|32|Altre attività manifatturiere|C
GROUP|32.1|Fabbricazione di gioielleria| bigiotteria e articoli connessi|C
GROUP|32.11|Coniazione di monete|C
CLASS|32.11.0|Coniazione di monete|C
CLASS|32.11.00|Coniazione di monete|C
GROUP|32.12|Fabbricazione di gioielli e articoli simili|C
CLASS|32.12.1|Lavorazione di pietre preziose e semipreziose|C
CLASS|32.12.10|Lavorazione di pietre preziose e semipreziose|C
CLASS|32.12.2|Fabbricazione di gioielli e articoli di oreficeria in metalli preziosi|C
CLASS|32.12.20|Fabbricazione di gioielli e articoli di oreficeria in metalli preziosi|C
GROUP|32.13|Fabbricazione di bigiotteria e articoli simili|C
CLASS|32.13.0|Fabbricazione di bigiotteria e articoli simili|C
CLASS|32.13.00|Fabbricazione di bigiotteria e articoli simili|C
GROUP|32.2|Fabbricazione di strumenti musicali|C
GROUP|32.20|Fabbricazione di strumenti musicali|C
CLASS|32.20.0|Fabbricazione di strumenti musicali|C
CLASS|32.20.00|Fabbricazione di strumenti musicali|C
GROUP|32.3|Fabbricazione di articoli sportivi|C
GROUP|32.30|Fabbricazione di articoli sportivi|C
CLASS|32.30.0|Fabbricazione di articoli sportivi|C
CLASS|32.30.01|Fabbricazione di attrezzature da palestra| per centri di fitness e per atletica|C
CLASS|32.30.09|Fabbricazione di altri articoli sportivi|C
GROUP|32.4|Fabbricazione di giochi e giocattoli|C
GROUP|32.40|Fabbricazione di giochi e giocattoli|C
CLASS|32.40.1|Fabbricazione di giochi|C
CLASS|32.40.10|Fabbricazione di giochi|C
CLASS|32.40.2|Fabbricazione di giocattoli|C
CLASS|32.40.20|Fabbricazione di giocattoli|C
GROUP|32.5|Fabbricazione di strumenti e forniture mediche e dentistiche|C
