type|code|description|section
CLASS|01.61.1|Manutenzione del terreno per mantenerlo in buone condizioni|A
CLASS|01.61.10|Manutenzione del terreno per mantenerlo in buone condizioni|A
CLASS|01.61.9|Attività di supporto alla produzione vegetale n.c.a.|A
CLASS|01.61.91|Trattamenti fitosanitari|A
CLASS|01.61.99|Altre attività di supporto alla produzione vegetale n.c.a.|A
GROUP|01.62|Attività di supporto alla produzione animale|A
CLASS|01.62.0|Attività di supporto alla produzione animale|A
CLASS|01.62.01|Attività di maniscalchi|A
CLASS|01.62.09|Altre attività di supporto alla produzione animale|A
GROUP|01.63|Attività successive alla raccolta e lavorazione delle sementi per la semina|A
CLASS|01.63.1|Attività successive alla raccolta|A
CLASS|01.63.10|Attività successive alla raccolta|A
CLASS|01.63.2|Lavorazione delle sementi per la semina|A
CLASS|01.63.20|Lavorazione delle sementi per la semina|A
GROUP|01.7|Caccia| cattura di animali e servizi connessi|A
GROUP|01.70|Caccia| cattura di animali e servizi connessi|A
CLASS|01.70.0|Caccia| cattura di animali e servizi connessi|A
CLASS|01.70.00|Caccia| cattura di animali e servizi connessi|A
DIVISION|02|Silvicoltura e utilizzo di aree forestali|A
GROUP|02.1|Silvicoltura e altre attività forestali|A
GROUP|02.10|Silvicoltura e altre attività forestali|A
CLASS|02.10.0|Silvicoltura e altre attività forestali|A
CLASS|02.10.00|Silvicoltura e altre attività forestali|A
GROUP|02.2|Utilizzo di aree forestali|A
GROUP|02.20|Utilizzo di aree forestali|A
CLASS|02.20.0|Utilizzo di aree forestali|A
CLASS|02.20.00|Utilizzo di aree forestali|A
GROUP|02.3|Raccolta di prodotti selvatici non legnosi|A
GROUP|02.30|Raccolta di prodotti selvatici non legnosi|A
CLASS|02.30.0|Raccolta di prodotti selvatici non legnosi|A
CLASS|02.30.00|Raccolta di prodotti selvatici non legnosi|A
GROUP|02.4|Servizi di supporto per la silvicoltura|A
GROUP|02.40|Servizi di supporto per la silvicoltura|A
CLASS|02.40.0|Servizi di supporto per la silvicoltura|A
CLASS|02.40.00|Servizi di supporto per la silvicoltura|A
DIVISION|03|Pesca e acquacoltura|A
GROUP|03.1|Pesca|A
GROUP|03.11|Pesca marina|A
CLASS|03.11.0|Pesca marina|A
CLASS|03.11.00|Pesca marina|A
GROUP|03.12|Pesca in acque dolci|A
CLASS|03.12.0|Pesca in acque dolci|A
CLASS|03.12.00|Pesca in acque dolci|A
GROUP|03.2|Acquacoltura|A
GROUP|03.21|Acquacoltura marina|A
CLASS|03.21.0|Acquacoltura marina|A
CLASS|03.21.01|Coltivazione di alghe marine|A
CLASS|03.21.09|Altre attività di acquacoltura marina|A
GROUP|03.22|Acquacoltura in acque dolci|A
CLASS|03.22.0|Acquacoltura in acque dolci|A
CLASS|03.22.01|Coltivazione di alghe in acque dolci|A
CLASS|03.22.09|Altre attività di acquacoltura in acque dolci|A
GROUP|03.3|Attività di supporto alla pesca e all'acquacoltura|A
GROUP|03.30|Attività di supporto alla pesca e all'acquacoltura|A
CLASS|03.30.0|Attività di supporto alla pesca e all'acquacoltura|A
CLASS|03.30.00|Attività di supporto alla pesca e all'acquacoltura|A
SECTION|B|ATTIVITÀ ESTRATTIVE
DIVISION|05|Estrazione di carbone e lignite|B
GROUP|05.1|Estrazione di antracite|B
GROUP|05.10|Estrazione di antracite|B
CLASS|05.10.0|Estrazione di antracite|B
CLASS|05.10.00|Estrazione di antracite|B
GROUP|05.2|Estrazione di lignite|B
GROUP|05.20|Estrazione di lignite|B
CLASS|05.20.0|Estrazione di lignite|B
CLASS|05.20.00|Estrazione di lignite|B
DIVISION|06|Estrazione di petrolio greggio e gas naturale|B
GROUP|06.1|Estrazione di petrolio greggio|B
GROUP|06.10|Estrazione di petrolio greggio|B
CLASS|06.10.0|Estrazione di petrolio greggio|B
CLASS|06.10.00|Estrazione di petrolio greggio|B
GROUP|06.2|Estrazione di gas naturale|B
GROUP|06.20|Estrazione di gas naturale|B
CLASS|06.20.0|Estrazione di gas naturale|B
CLASS|06.20.00|Estrazione di gas naturale|B
DIVISION|07|Estrazione di minerali metalliferi|B
GROUP|07.1|Estrazione di minerali metalliferi ferrosi|B
GROUP|07.10|Estrazione di minerali metalliferi ferrosi|B
CLASS|07.10.0|Estrazione di minerali metalliferi ferrosi|B
CLASS|07.10.00|Estrazione di minerali metalliferi ferrosi|B
GROUP|07.2|Estrazione di minerali metalliferi non ferrosi|B
GROUP|07.21|Estrazione di minerali di uranio e torio|B
CLASS|07.21.0|Estrazione di minerali di uranio e torio|B
CLASS|07.21.00|Estrazione di minerali di uranio e torio|B
GROUP|07.29|Estrazione di altri minerali metalliferi non ferrosi|B
CLASS|07.29.0|Estrazione di altri minerali metalliferi non ferrosi|B
CLASS|07.29.00|Estrazione di altri minerali metalliferi non ferrosi|B
DIVISION|08|Altre attività estrattive|B
GROUP|08.1|Estrazione di pietra| sabbia e argilla|B
GROUP|08.11|Estrazione di pietre ornamentali| calcare| pietra di gesso| ardesia e altre pietre|B
CLASS|08.11.0|Estrazione di pietre ornamentali| calcare| pietra di gesso| ardesia e altre pietre|B
CLASS|08.11.00|Estrazione di pietre ornamentali| calcare| pietra di gesso| ardesia e altre pietre|B
GROUP|08.12|Estrazione di ghiaia| sabbia| argilla e caolino|B
CLASS|08.12.0|Estrazione di ghiaia| sabbia| argilla e caolino|B
CLASS|08.12.00|Estrazione di ghiaia| sabbia| argilla e caolino|B
GROUP|08.9|Attività estrattive n.c.a.|B
GROUP|08.91|Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti|B
CLASS|08.91.0|Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti|B
CLASS|08.91.00|Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti|B
